title,price,miles
2022 Ford Bronco,"$48,000",No Miles
2018 Volkswagen Atlas AWD All Wheel Drive VW 3.6L V6 SEL Premium SUV,"$26,987",72k
2018 Jeep Wrangler JK Unlimited Rubicon 4WD,"$28,450",109k
2012 Toyota Highlander Limited 4WD,"$13,999",162k
1997 Volvo 850 Wagon,"$1,600",285k
** 2016 RAM 1500 TRADESMAN * 41K MILES * CREW CAB * 4X4 * 1 OWNER **,"$23,995",42k
2004 GMC Envoy XUV,"$1,200",228k
1998 Toyota Camry BUY HERE - PAY HERE,$750,277k
2013 Ford F-150 4x4 4WD F150 Truck XLT Crew Cab,"$19,987",116k
2013 Toyota Land Cruiser 4x4 4WD  SUV,"$26,990",240k
2005 touota sequoia 4wd,"$4,500",300k
1979 Oldsmobile Delta 88,"$13,500",90k
2006 *Volvo* *XC90* *V8* Volvo Ocean Race Edition,"$6,995",113k
HONDA PILOT EX-L  AWD  8 PASSENGER  2016,"$21,488",87k
2008 Toyota Highlander Sport,"$8,000",213k
2010 Volkswagen Tiguan 108k miles,"$7,000",108k
2013 Ford Fiesta,"$5,000",133k
1967 Dodge Coronet R/T 440 V8,"$39,500",46k
1989 Chevrolet Silverado K1500 4X4,"$13,000",78k
1968 Chevrolet Camaro RS Convertible 350 V8,"$59,500",12k
1970 Chevrolet Chevelle SS 454 V8,"$79,500","1,180mi"
2012 Mazda CX-9 Touring AWD 3RD Row,"$4,995",No Miles
1966 Chevrolet Chevelle SS 427 V8,"$69,500",47k
1965 Chevrolet C10 350 V8,"$55,500","6,651mi"
1966 Ford Mustang 289 V8,"$32,500",162mi
1998 Chevrolet Corvette Convertible Mallett Edition,"$29,500",32k
2005 350Z Roadster,"$13,500",No Miles
98 Ford F150 4x4,"$9,500",No Miles
1964 Pontiac GTO 389 V8 Numbers Matching,"$44,500",66k
1955 Chevrolet 210 400 V8,"$62,500",35k
2016 NISSAN FRONTIER KING CAB SV....6CYL AUTO....74000 MILES...NICE!!,"$14,750",74k
13 Nissan Rogue 865-984-0052,"$4,100",198k
10 Chevy HHR LT 865-984-0052,"$3,100",144k
03 Toyota Camry XLE 865-984-0052,"$3,190",261k
10 Hyundai Elantra GLS 865-984-0052,"$3,600",168k
11 Ford Fusion SEL 865-984-0052,"$3,290",206k
13 Kia Sorento LX 865-984-0052,"$4,200",184k
2016 Ford Focus Hatchback SE,"$14,000",26k
2011 Chevrolet Chevy Camaro LT 2dr Coupe w/2LT,"$11,990",136k
2011  Toyota Tacoma,"$13,950",220k
2007 Toyota Tacoma,"$11,950",214k
2017 Freightliner M2,"$17,500",263k
"Isuzu dump truck 4cyl diesel/auto @137k,11'X8' wide Aluminum bed w/4","$9,400",137k
08 scion xb Toyota 40mpg manual 5speed $4 k,"$4,200",No Miles
2001 Nissan Altima,"$1,800",237k
2009 Toyota Camry SE V6 Great Engine,"$6,500",208k
02 suburban 1500 2wd ⁶⁰ K miles $9k,"$9,500",No Miles
